variant,image,time_block,arm,v1_t_m,v1_r_deg,lidar_only_t_m,lidar_only_r_deg,result_t_m,result_r_deg,v1_success,lidar_only_success,result_success,solver_called,solver_converged,nfev,residual_calls,lidar_support,camera_support,lidar_objective_before,lidar_objective_after,camera_scan_gt_t_m,camera_scan_gt_r_deg,camera_reference_result_t_m,camera_reference_result_r_deg
balanced,1329069266936186,22151154,prediction_full,0.10585175979558513,2.686367144039653,0.12408204161554451,2.7783295356589237,0.12671062411209602,2.8152391540803015,False,False,False,True,True,8,56,190,17,0.13042483076748582,0.12864113878145797,0.0009468442982054061,0.017084810376976484,0.12739304405782786,2.813709483977009
balanced,1329069266936186,22151154,prediction_common,0.10585175979558513,2.686367144039653,0.12408204161554451,2.7783295356589237,0.11670132477912896,2.6982333097017404,False,False,False,True,True,8,56,190,28,0.13042483076748582,0.1287920277074335,0.0009468442982054061,0.017084810376976484,0.11741315983117587,2.69657054076796
balanced,1329069266936186,22151154,oracle_prediction,0.10585175979558513,2.686367144039653,0.12408204161554451,2.7783295356589237,0.08102062808969855,2.1997263150468394,False,False,False,True,True,8,56,190,27,0.13042483076748582,0.1400972924878307,0.0009468442982054061,0.017084810376976484,0.08176687254255538,2.1970757512574317
balanced,1329069266936186,22151154,oracle_matched_random,0.10585175979558513,2.686367144039653,0.12408204161554451,2.7783295356589237,0.12425876345355473,2.7176034413888677,False,False,False,True,True,8,56,190,10,0.13042483076748582,0.12905168260898003,0.0009468442982054061,0.017084810376976484,0.12496690990230529,2.715605938772977
balanced,1329069267936284,22151154,lidar_only,0.2848890213838482,2.9647484661979755,0.2617073004834231,2.9640742720049613,0.2617073004834231,2.9640742720049613,False,False,False,True,True,8,56,227,0,0.15097290986317874,0.14817241513861265,0.0021144406666193543,0.017678861473539878,0.26318076474701246,2.9482530845075092
balanced,1329069267936284,22151154,prediction_full,0.2848890213838482,2.9647484661979755,0.2617073004834231,2.9640742720049613,0.27262030136890447,3.0772004457002047,False,False,False,True,True,8,56,227,30,0.15097290986317874,0.14902961039838056,0.0021144406666193543,0.017678861473539878,0.2741058579947779,3.061299214531951
balanced,1329069267936284,22151154,prediction_common,0.2848890213838482,2.9647484661979755,0.2617073004834231,2.9640742720049613,0.2567853018847356,2.9137193384156816,False,False,False,True,True,8,56,227,29,0.15097290986317874,0.14830289529973362,0.0021144406666193543,0.017678861473539878,0.2582733049103799,2.8978792025573648
balanced,1329069267936284,22151154,oracle_prediction,0.2848890213838482,2.9647484661979755,0.2617073004834231,2.9640742720049613,0.22130405239711537,2.6738333942280046,False,False,False,True,True,8,56,227,20,0.15097290986317874,0.1551491146592029,0.0021144406666193543,0.017678861473539878,0.22281831263412638,2.658207476722938
balanced,1329069267936284,22151154,oracle_matched_random,0.2848890213838482,2.9647484661979755,0.2617073004834231,2.9640742720049613,0.24547182137753376,2.7817436013038375,False,False,False,True,True,8,56,227,8,0.15097290986317874,0.15069279961990162,0.0021144406666193543,0.017678861473539878,0.24696134123749405,2.765771316391933
balanced,1329069268938839,22151154,lidar_only,0.15377627260033275,1.883473053209172,0.12076917377977829,1.7092602718025898,0.12076917377977829,1.7092602718025898,True,True,True,True,True,8,56,176,0,0.12890851328594688,0.12283030097224582,0.0027153313570463344,0.01994051041467745,0.121217645673665,1.7062830104385318
